"","SiteData","Description"
"EIA.ID","56613","Energy Info Admin ID"
"FERC.ID","1881","Fed Energy Reg Cmsn ID"
"Plant.Name","Logan Wind Energy",""
"Operator.Name","NextEra",""
"Loc.Lat","40.94852","Latitude, decimal coordinates"
"Loc.Lon","-103.2447","Longitude, decimal coordinates"
"Loc.Elev","1393.448","Mean site elevation (m)"
"Loc.County","Logan",""
"Loc.State","CO",""
"Loc.Country","US",""
"Status","OP","Operational or development"
"Date.Cmsn","2007-10","Date commissioned, YYYY-MM"
"Turbine.Manufacturer","GE",""
"Turbine.Model","1.5SLE",""
"Turbine.Capacity","1.5","Max power of each turbine (MW)"
"Tower.HH","80","Hub height (m)"
"Rotor.Diameter","77","Rotor diameter (m)"
"Capacity","201","Max sitewide power (MW)"
"Turbine.Ct","134","Number of turbines"
