"Month","Energy.MWh","Capacity.MW"
"2007-01",0,0
"2007-02",0,0
"2007-03",0,0
"2007-04",0,0
"2007-05",0,0
"2007-06",0,0
"2007-07",0,0
"2007-08",0,0
"2007-09",0,0
"2007-10",49717.289,201
"2007-11",41376.384,201
"2007-12",41192.326,201
"2008-01",65745,201
"2008-02",60803,201
"2008-03",59081,201
"2008-04",59793,201
"2008-05",58823,201
"2008-06",48230,201
"2008-07",33595,201
"2008-08",42572,201
"2008-09",28864,201
"2008-10",53816,201
"2008-11",70383,201
"2008-12",64661,201
"2009-01",89839,201
"2009-02",56409,201
"2009-03",57939,201
"2009-04",64630,201
"2009-05",44812,201
"2009-06",32277,201
"2009-07",27610,201
"2009-08",32237,201
"2009-09",45473,201
"2009-10",52774,201
"2009-11",50849,201
"2009-12",57597,201
"2010-01",46112,201
"2010-02",41331,201
"2010-03",50268,201
"2010-04",64653,201
"2010-05",57122,201
"2010-06",44571,201
"2010-07",35108,201
"2010-08",40469,201
"2010-09",44403,201
"2010-10",48288,201
"2010-11",53695,201
"2010-12",56126,201
"2011-01",68126,201
"2011-02",54589,201
"2011-03",55929,201
"2011-04",64775,201
"2011-05",60366,201
"2011-06",49576,201
"2011-07",33851,201
"2011-08",35483,201
"2011-09",33608,201
"2011-10",54319,201
"2011-11",54886,201
"2011-12",61420,201
"2012-01",70007,201
"2012-02",59812,201
"2012-03",56921,201
"2012-04",58072,201
"2012-05",45493,201
"2012-06",53408,201
"2012-07",31992,201
"2012-08",43156,201
"2012-09",37265,201
"2012-10",44982,201
"2012-11",42616,201
"2012-12",57059,201
"2013-01",61138,201
"2013-02",69988,201
"2013-03",65064,201
"2013-04",42497,201
"2013-05",50561,201
"2013-06",46194,201
"2013-07",34969,201
"2013-08",27707,201
"2013-09",38414,201
"2013-10",60048,201
"2013-11",49390,201
"2013-12",67474,201
"2014-01",83434,201
"2014-02",41923,201
"2014-03",54591,201
"2014-04",56495,201
"2014-05",49971,201
"2014-06",42399,201
"2014-07",33469,201
"2014-08",26799,201
"2014-09",35515,201
"2014-10",52430,201
"2014-11",61222,201
"2014-12",53840,201
"2015-01",59521,201
"2015-02",49804,201
"2015-03",54457,201
"2015-04",47862,201
"2015-05",42067,201
"2015-06",23941,201
"2015-07",28072,201
"2015-08",35168,201
"2015-09",30737,201
